business_id,name,address,review_count,rating,zipcode,cuisine
SxKvgnkMMZdhBJcxxKQnww,Nobu Fifty Seven,40 W 57th St,1469,4.0,10019,Japanese
ZOa13veZkzGjA-x3kMfOmA,4 Charles Prime Rib,4 Charles St,443,4.5,10014,Other
oTL_nPII6x0HfPVpEQklUg,PLANTA Queen Nomad,15 W 27th St,665,4.5,10001,Other
qm1J_dPA5IHij1oAnoZwHw,nonono,118 Madison Ave,1178,4.0,10016,Other
fVsH6QIJPzXpVbgmeiolsA,Jungsik,2 Harrison St,756,4.5,10013,Korean
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,334 W 46th St,1717,4.0,10036,Other
xkvv0n7jbl4Ra3Vm_jfxaA,Upland,345 Park Ave S,1218,4.0,10010,Other
U5hCNNyJmb7f3dmC1HTzSQ,Junior's Restaurant,1515 Broadway,5915,4.0,10036,Other
NbKATjp2MoQ4TvKKwu9fdA,Mari,679 9th Ave,159,4.5,10036,Korean
FizBsTIAJwNrImIG1mPDcg,Barn Joo,35 Union Sq W,1906,4.0,10003,Korean
OgM6WwztLVavBQBmb_g5aw,Tara Rose,384 3rd Ave,774,4.5,10016,Other
1LIptXhtDh58vAA-QPFL4w,Cask,167 E 33rd St,1519,4.0,10016,Other
7iY35991NhQ1AShJZCNZgA,Sakagura,211 E 43rd St,1877,4.0,10017,Japanese
WyiTT3VHjzowMnOnUpZ7TQ,Empellón,510 Madison Ave,437,4.0,10022,Mexican
An1_BlhLJDZomxI91SBv7g,Oiji Mi,17 W 19th St,202,4.5,10011,Korean
H26qMBb0OFNn2xmSTM1Phw,Kings of Kobe,650 W 42nd St,448,4.5,10036,Other
7xe5Pd4fvN2vo05FP2XOeg,LumLum ,404 W 49th,363,4.5,10019,Thai
PYcL2z9gHj6-ZTlViT9Nqw,Minetta Tavern,113 Macdougal St,2461,4.0,10012,French
diCW3Pj1PTVRSyol_d7cZw,Chef's Table at Brooklyn Fare,431 W 37th St,671,4.5,10018,Japanese
oSAiyZF-xTqdRkwN5KrV_Q,Del Frisco's Grille,50 Rockefeller Plz,867,3.5,10020,Other
veku2cg2qaV-7MxwhOMBmg,Judge Roy Bean Public House,38 W 56th St,900,4.5,10019,Other
5CuYWr0-cE01HxlBu5Ka6g,Carne Mare,89 South St,236,4.5,10038,Italian
V7lXZKBDzScDeGB8JmnzSA,Katz's Delicatessen,205 E Houston St,15231,4.0,10002,Other
KxyH5zvTyXawl17lHjA4SQ,Beyond Sushi,134 West 37th St,722,4.5,10018,Other
f7apP8A_0_KqcGQTK4V2TQ,Aquavit,65 E 55th St,880,4.0,10022,Other
jjDsVuD7KbxnYV4jFnyftA,LOVE Korean BBQ,319 5th Ave,749,4.5,10016,Korean
J9UA6rzI5WW_cDGjwDnF5g,Tsuru Ton Tan,21 E 16th St,2314,4.0,10003,Japanese
JLpEKUYAtzBRQwsUL3RPIA,Il Corso,54 W 55th St,446,4.5,10019,Italian
KcOeFHAojaRDV-DxQJkfPA,Omakase By Korami,400A W 50th St,408,5.0,10019,Japanese
TcuWyuZAORVnQBPCMNbTgw,Beyond Sushi,62 W 56th St,843,4.5,10019,Other
KXD44wWmrGf7mzyyr0bikw,P.S. Kitchen,246 W 48th St,711,4.5,10036,Other
vGS5X12NYXCl8NpynlxRuw,Oscar Wilde,45 W 27th St,1247,4.0,10001,Other
e5wK3I_THzF4Ce_OgoSCQw,Mokyo,109 St Marks Pl,344,4.5,10009,Korean
0IFDnYf3bhqxJR6hVrG7Gw,Top Thai Vintage,55 Carmine St,1112,4.5,10014,Thai
CuwHhq1MKX5hm8YyxtqukQ,Shukette,230 9th Ave,347,4.5,10001,Other
dMhRafXdr765DHe0k-QfaQ,ABC Kitchen,35 E 18th St,3191,4.0,10003,Other
_0WFGjXuenlBixOlbSlGeQ,Crown Shy,70 Pine St,567,4.0,10005,Other
8SehQovJOuQDLbtzLLYLyw,RH Rooftop Restaurant New York,9 9th Ave,869,4.0,10014,Other
